"Collection Name","Subcollection","Subcollection$2","Subcollection$1","Title#1","Non Sort#1","Subtitle#1","Uniform Title#1","Alternative Title#1","Other Title#1","Other Title#1$2","Other Title#1$3","Other Title#1$1","First Line of Chorus#1","First Line of Text#1","Series Title#1","Alternative Title#2","First Line of Chorus#2","First Line of Text#2","First Line of Chorus#3","First Line of Text#3","Composer#1","Composer Authority#1","Lyricist#1","Lyricist Authority#1","Arranger#1","Arranger Authority#1","Editor#1","Editor Authority#1","Artist#1","Artist Authority#1","Performer#1","Performer Authority#1","Contributor#1","Contributor Name Authority#1","Composer#2","Composer Authority#2","Lyricist#2","Lyricist Authority#2","Artist#2","Artist Authority#2","Contributor#2","Contributor Name Authority#2","Composer#3","Composer Authority#3","Lyricist#3","Lyricist Authority#3","Contributor#3","Contributor Name Authority#3","Contributor#4","Contributor Name Authority#4","Type of Resource#1","Type of Resource Authority#1","Place Term#1","Place Term Type#1","Place Term Authority#1","Publisher#1","Date Issued#1","Date Captured#1","Date Captured Encoding#1","Edition#1","Place Term#2","Place Term Type#2","Place Term Authority#2","Publisher#2","Date Issued#2","Publisher#3","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Internet Media Type#1","Internet Media Type Authority#1","Extent#1","Digital Origin#1","Note#1","Digitization Note#1","Note#10","Note#11","Note#12","Note#13","Digitization Note#13","Note#2","Digitization Note#2","Note#3","Digitization Note#3","Note#4","Digitization Note#4","Note#5","Digitization Note#5","Note#6","Digitization Note#6","Note#7","Digitization Note#7","Note#8","Digitization Note#8","Note#9","Subject Topic#1","Subject Authority#1","Subject Geographic#1","Subject Geographic Authority#1","Subject Temporal#1","Subject Temporal Authority#1","Subject Name#1","Subject Topic#2","Subject Authority#2","Subject Geographic#2","Subject Geographic Authority#2","Subject Name#2","Subject Topic#3","Subject Authority#3","Subject Topic#4","Subject Authority#4","Subject Topic#5","Subject Authority#5","Subject Topic#6","Subject Authority#6","Classification#1","Plate Number#1","Publisher Number#1","Classification#2","Plate Number#2","Publisher Number#2","Classification#3","Classification#4","Identifier#1","Identifier Type#1","Identifier ARK#1","Physical Location#1","Physical Location Type#1","Access Condition#1","Access Condition Authority#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Back to dear old Denver town","Back to dear old Denver town","","","","","","","","For I'm going back, back, back to that dear old Denver town","You can have your dear old Broadway","","","","","","","Wilber, Harry Lee","local","Olson, Oscar B.","local","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Denver","text","http://id.worldcat.org/fast/1205192","Oscar B. Olson","1912","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","Colorado--Denver","http://id.worldcat.org/fast/1205192","1911-1920","local","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","","","","","","","","","","MUSICPOP 1912 Online","","","Sierra bibliographic number: b33508240","","","Chinook catalog: http://libraries.colorado.edu/record=b3350824~S3","","ColBackToDear.pdf","local","https://ark.colorado.edu/ark:/47540/509g7311n87p","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101727","4983","ColBackToDear.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101727~308237"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Beautiful Colorado","Beautiful Colorado","","","","","","","","","Grandeur of mountain and dale","","","","","","","Oles, George W., 1863-1935","local","Oles, George W., 1863-1935","local","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","New Jersey--Long Branch","text","http://id.worldcat.org/fast/1222128","Keith's Music Publishing House","1922","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (3 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 3 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","1921-1930","local","","Popular music--1921-1930","http://id.loc.gov/authorities/subjects/sh87003302","","","","","","","","","","","","MUSICPOP 1922 Online","","","Sierra bibliographic number: b33508276","","","Chinook catalog: http://libraries.colorado.edu/record=b3350827~S3","","ColBeautiful.pdf","local","https://ark.colorado.edu/ark:/47540/cj2f8842h5h8","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101728","4983","ColBeautiful.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101728~308235"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","The Board of Brokers Association march","Board of Brokers Association march","","","","","","","","We are the Board of Brokers","","","","","","","","Schubert, R. F","local","Schubert, R. F.","local","","","","","","","","","","","Dorman, J. B.","local","Dorman, J. B.","local","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Colorado Springs","text","http://id.worldcat.org/fast/1205930","J.B. Dorman and R.F. Schubert","1900","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","Photograph of the Board of Brokers Association Building, Colorado Spring, Colo. on cover","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","Popular music--To 1901","http://id.loc.gov/authorities/subjects/sh87003298","","Popular music--To 1901","http://id.loc.gov/authorities/subjects/sh87003298","Colorado--Colorado Springs","http://id.worldcat.org/fast/1205930","","","","","","","","","","MUSICPOP 1900 Online","","","Sierra bibliographic number: b3350829x","","","Chinook catalog: http://libraries.colorado.edu/record=b3350829~S3","","ColBoardOf.pdf","local","https://ark.colorado.edu/ark:/47540/d9658s12q441","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101729","4983","ColBoardOf.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101729~308233"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","The buffalo","Buffalo","","","","","","","","","","","","","","","","Pherson, Ode Pearl","local","Pherson, Ode Pearl","local","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","","text","","","[1900]","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 ms. score ([2] p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 3 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","","","","","","","","","","","","","","","","","","","MUSICPOP 1900 Online","","","Sierra bibliographic number: b3350832x","","","Chinook catalog: http://libraries.colorado.edu/record=b3350832~S3","","ColBuffalo.pdf","local","https://ark.colorado.edu/ark:/47540/95335k16c3g1","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101730","4983","ColBuffalo.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101730~308231"
"Digital Sheet Music Collection","Western Trails Sheet Music Collection","","","Chic-ka-saw","Chic-ka-saw","","","","","","","","Chic-ka-chic-ka-chic-ka-saw","There was a chap not quite off the map","","","","","","","Pentland, Gus","local","","","","","","","","","","","Langhorne, Vick","local","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Denver","text","http://id.worldcat.org/fast/1205192","Rocky Mountain Music Co.","1913","2013-11-06","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 4 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","West United States","http://id.worldcat.org/fast/1243255","1911-1920","local","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","","","","Indians of North America--Songs and music","http://id.loc.gov/authorities/subjects/sh2007100224","","","","","","","MUSICPOP 1913 Online","","","Sierra bibliographic number: b33508343","","","Chinook catalog: http://libraries.colorado.edu/record=b3350834~S3","","ColChic.pdf","local","https://ark.colorado.edu/ark:/47540/4g727t42p367","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101731","4983","ColChic.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101731~308229"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Colorado","Colorado","","","","","","","","","","","","","","","","Leighton, Zella Estelle","http://id.loc.gov/authorities/names/n2014070476","Leighton, Zella Estelle","http://id.loc.gov/authorities/names/n2014070476","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","[S.l.]","text","local","[s.n.]","1917","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (1 leaf)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 1 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","Colorado","http://id.worldcat.org/fast/1210251","1911-1920","local","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","","","","","","","","","","","","MUSICPOP 1907 Online","","","Sierra bibliographic number: b33894383","","","Chinook catalog: http://libraries.colorado.edu/record=b3389438~S3","","ColColorado_Leighton.pdf","local","https://ark.colorado.edu/ark:/47540/p61q7557592s","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1102189","4983","ColColorado_Leighton.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1102189~308181"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Colorado","Colorado","","","","","","","","To Colorado, my Colorado","On the plains long ago","","","","","","","Price, Maude McFerran, 1864-1941","http://id.loc.gov/authorities/names/no2010203265","Price, Maude McFerran, 1864-1941","http://id.loc.gov/authorities/names/no2010203265","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Colorado Springs","text","http://id.worldcat.org/fast/1205930","Maude McFerran Price","1907","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","1901-1910","local","","Popular music--1901-1910","http://id.loc.gov/authorities/subjects/sh87003299","","","","","","","","","","","","MUSICPOP 1907 Online","","","Sierra bibliographic number: b33894395","","","Chinook catalog: http://libraries.colorado.edu/record=b3389439~S3","","ColColorado_Price.pdf","local","https://ark.colorado.edu/ark:/47540/z03t2r2464bh","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1102190","4983","ColColorado_Price.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1102190~308179"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Colorado and you","Colorado and you","","","","","","","","Out in Colorado where I met you","Stars were all aglow","","","","","","","Johnson, Chas. L. (Charles Leslie), 1876-1950","http://id.loc.gov/authorities/names/no97068100","Robison, Carson","http://id.loc.gov/authorities/names/n93015769","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Illinois--Chicago","text","http://id.worldcat.org/fast/1204048","Forster Music Publisher, Inc.","1922","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 8 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","1921-1930","local","","Popular music--1921-1930","http://id.loc.gov/authorities/subjects/sh87003302","","","","","","","","","","","","MUSICPOP 1922 Online","","","Sierra bibliographic number: b33508392","","","Chinook catalog: http://libraries.colorado.edu/record=b3350839~S3","","ColColoradoAnd.pdf","local","https://ark.colorado.edu/ark:/47540/820n9m52h27r","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101732","4983","ColColoradoAnd.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101732~308227"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Colorado gem state","Colorado gem state","","","","","","","","Flow'r of all lands","There's a state in the West","","","","","","","Snow, Harry M.","local","","","","","","","","","","","","","Shelton, Forrest C.","local","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Denver","text","http://id.worldcat.org/fast/1205192","Forrest C. Shelton","1917","2013-07-10","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (3 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 4 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Popular music--1911-1920","http://id.loc.gov/authorities/subjects/sh87003300","Colorado","http://id.worldcat.org/fast/1210251","1911-1920","local","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","","","","","","","","","","","","MUSICPOP 1917 Online","","","Sierra bibliographic number: b33508409","","","Chinook catalog: http://libraries.colorado.edu/record=b3350840~S3","","ColColoradoGem.pdf","local","https://ark.colorado.edu/ark:/47540/k00x2v77942r","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101733","4983","ColColoradoGem.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101733~308225"
"Digital Sheet Music Collection","Colorado Sheet Music Collection","","","Colorado","Colorado","I oft times hear you call","","","","","","","Colorado, my own Colorado","There's a place that I know","","","","","","","Whitman, M. C.","local","Whitman, M. C.","local","","","","","","","","","","","","","","","","","","","","","","","","","","","Notated music","http://id.loc.gov/vocabulary/resourceTypes/not","Colorado--Denver","text","http://id.worldcat.org/fast/1205192","M.C. Whitman","1922","","","","","","","","","","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 score (5 p.)","reformatted digital","For voice and piano","","","","","","","","Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 4 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner","","","","","","","","","","","","","","Songs with piano","http://id.loc.gov/authorities/subjects/sh85125211","Colorado","http://id.worldcat.org/fast/1210251","1921-1930","local","","Popular music--1921-1930","http://id.loc.gov/authorities/subjects/sh87003302","","","","","","","","","","","","MUSICPOP 1922 Online","","","Sierra bibliographic number: b33508410","","","Chinook catalog: http://libraries.colorado.edu/record=b3350841~S3","","ColColoradoIOft.pdf","local","https://ark.colorado.edu/ark:/47540/fv206768b500","University of Colorado Boulder Music Library","current","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","1101734","4983","ColColoradoIOft.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~78~78~1101734~308223"
